{snapshot: 14:54:23, data: ['62.05412', '30.81515', '29.61699', '2.09822', '8.42687', '194.3157', '-0.00543', '0.09663', '0.93165']}\n
{snapshot: 14:54:24, data: ['62.03582', '31.17266', '29.61633', '1.98746', '8.17812', '194.38574', '-0.00346', '0.10173', '0.94481']}\n
{snapshot: 14:54:25, data: ['62.10901', '29.59257', '29.61587', '1.89194', '8.06003', '194.49729', '-0.00321', '0.09736', '0.95432']}\n
{snapshot: 14:54:26, data: ['62.12731', '29.85432', '29.6164', '1.79099', '7.83432', '194.54323', '-0.00716', '0.09736', '0.95188']}\n
{snapshot: 14:54:26, data: ['62.05412', '30.84388', '29.61659', '1.65396', '7.59414', '194.6194', '-0.00346', '0.09639', '0.94749']}\n
{snapshot: 14:54:27, data: ['62.09072', '30.77046', '29.61617', '1.5321', '7.37668', '194.67498', '-0.0042', '0.10027', '0.9548']}\n
{snapshot: 14:54:28, data: ['62.03582', '30.56616', '29.61584', '1.4501', '7.21583', '194.72163', '-0.0042', '0.10197', '0.95237']}\n
{snapshot: 14:54:28, data: ['62.10901', '30.84388', '29.6162', '1.34411', '7.07714', '194.70979', '-0.00543', '0.09809', '0.94847']}\n
{snapshot: 14:54:29, data: ['62.1822', '33.06558', '29.61615', '1.25985', '6.94423', '194.72613', '-0.00247', '0.09712', '0.95822']}\n
{snapshot: 14:54:30, data: ['62.09072', '26.69733', '29.61614', '1.18963', '6.87311', '194.72064', '-0.00296', '0.0959', '0.95212']}\n
{snapshot: 14:54:31, data: ['61.99923', '30.80238', '29.61594', '1.05623', '6.76053', '194.71978', '-0.0037', '0.09687', '0.95797']}\n
{snapshot: 14:54:31, data: ['62.10901', '30.80557', '29.61519', '0.99554', '6.67107', '194.74376', '-0.00518', '0.09809', '0.94993']}\n
{snapshot: 14:54:32, data: ['62.1822', '30.08735', '29.61503', '0.86508', '6.60565', '194.7426', '-0.00346', '0.09857', '0.96041']}\n
{snapshot: 14:54:33, data: ['62.10901', '30.70023', '29.6159', '0.83857', '6.53251', '194.7477', '-0.00247', '0.10027', '0.96382']}\n
{snapshot: 14:54:33, data: ['62.09072', '29.34678', '29.61527', '0.84104', '6.42593', '194.71971', '-0.0037', '0.09979', '0.9548']}\n
{snapshot: 14:54:34, data: ['62.10901', '30.82153', '29.61577', '0.84124', '6.41499', '194.75476', '-0.00568', '0.09639', '0.94798']}\n
{snapshot: 14:54:35, data: ['62.05412', '31.01306', '29.61641', '0.7992', '6.28401', '194.75446', '-0.00395', '0.0976', '0.96528']}\n
{snapshot: 14:54:36, data: ['62.12731', '30.72896', '29.61624', '0.71547', '6.26309', '194.73603', '-0.00543', '0.10052', '0.95383']}\n
{snapshot: 14:54:36, data: ['62.10901', '32.1303', '29.61586', '0.70787', '6.20739', '194.70435', '-0.00272', '0.10076', '0.94749']}\n
{snapshot: 14:54:37, data: ['62.1822', '29.4585', '29.61594', '0.70318', '6.16782', '194.7362', '-0.00691', '0.10246', '0.94774']}\n
{snapshot: 14:54:38, data: ['62.07242', '30.66512', '29.61621', '0.67751', '6.15453', '194.69354', '-0.00321', '0.09663', '0.9626']}\n
{snapshot: 14:54:39, data: ['62.09072', '30.84707', '29.61671', '0.60103', '6.12768', '194.71012', '-0.00518', '0.09493', '0.94822']}\n
{snapshot: 14:54:39, data: ['62.05412', '30.96837', '29.61585', '0.63587', '6.07316', '194.65895', '-0.0042', '0.0976', '0.94993']}\n
{snapshot: 14:54:40, data: ['62.05412', '29.8256', '29.61592', '0.62639', '6.1444', '194.61041', '-0.00197', '0.10027', '0.94822']}\n
{snapshot: 14:54:41, data: ['62.05412', '30.80557', '29.61577', '0.60523', '6.1041', '194.62368', '-0.00272', '0.10246', '0.94822']}\n
{snapshot: 14:54:41, data: ['62.25539', '30.48955', '29.61571', '0.51224', '6.1315', '194.59085', '-0.00123', '0.0942', '0.96041']}\n
{snapshot: 14:54:42, data: ['62.14561', '30.82153', '29.61609', '0.45492', '6.09312', '194.60951', '-0.00222', '0.10222', '0.96918']}\n
{snapshot: 14:54:43, data: ['62.16391', '29.77133', '29.61537', '0.40918', '5.97037', '194.61745', '-0.00395', '0.10246', '0.95115']}\n
{snapshot: 14:54:44, data: ['61.98093', '36.45879', '29.61568', '0.41189', '5.96721', '194.67195', '-0.00346', '0.10222', '0.95237']}\n
{snapshot: 14:54:44, data: ['62.14561', '29.5415', '29.61627', '0.37256', '5.94485', '194.62705', '-0.00123', '0.09712', '0.96601']}\n
{snapshot: 14:54:45, data: ['62.10901', '30.87261', '29.6162', '0.30917', '5.93124', '194.58332', '-0.0042', '0.09663', '0.95456']}\n
{snapshot: 14:54:46, data: ['62.07242', '30.42571', '29.6159', '0.24821', '5.96735', '194.5623', '-0.00247', '0.09809', '0.96114']}\n
{snapshot: 14:54:46, data: ['62.2005', '30.84068', '29.61581', '0.22076', '5.98501', '194.55502', '-0.00444', '0.101', '0.94652']}\n
{snapshot: 14:54:47, data: ['62.09072', '31.08648', '29.61529', '0.21143', '5.97517', '194.57752', '-0.00173', '0.101', '0.97771']}\n
{snapshot: 14:54:48, data: ['62.12731', '29.55427', '29.61519', '0.22671', '5.92029', '194.5567', '-0.00568', '0.09615', '0.94944']}\n
{snapshot: 14:54:48, data: ['62.23709', '30.68108', '29.6146', '0.20346', '5.88675', '194.57951', '-0.00444', '0.10027', '0.95797']}\n
{snapshot: 14:54:49, data: ['62.2188', '30.70981', '29.61524', '0.2018', '5.83511', '194.56394', '-0.0042', '0.101', '0.95042']}\n
{snapshot: 14:54:50, data: ['62.12731', '31.10882', '29.61627', '0.13983', '5.87504', '194.58627', '-0.00543', '0.09615', '0.95237']}\n
{snapshot: 14:54:51, data: ['62.16391', '30.72896', '29.61556', '0.16565', '5.90851', '194.62645', '-0.00321', '0.09857', '0.95505']}\n
{snapshot: 14:54:51, data: ['62.1822', '30.93964', '29.61524', '0.19274', '5.93893', '194.60424', '-0.00222', '0.09566', '0.96431']}\n
{snapshot: 14:54:52, data: ['62.16391', '25.33749', '29.61537', '0.15812', '5.96346', '194.61889', '-0.00321', '0.10246', '0.94969']}\n
{snapshot: 14:54:53, data: ['62.2005', '30.73535', '29.61588', '0.15979', '5.97438', '194.59541', '-0.0042', '0.0993', '0.95334']}\n
{snapshot: 14:54:53, data: ['62.1822', '30.6332', '29.61532', '0.19583', '6.01636', '194.65774', '-0.00395', '0.09493', '0.96406']}\n
{snapshot: 14:54:54, data: ['62.14561', '30.59809', '29.61446', '0.23372', '5.9551', '194.73934', '-0.00296', '0.09906', '0.96309']}\n
{snapshot: 14:54:55, data: ['62.10901', '30.30441', '29.61487', '0.24715', '5.94507', '194.75576', '-0.00222', '0.10513', '0.95188']}\n
