\n
{snapshot: 16:33:26, data: ['56.71129', '27.14103', '29.56081', '357.46874', '12.77336', '134.07971', '0.03952', '0.22118', '0.93092']}\n
{snapshot: 16:33:27, data: ['56.43683', '27.18892', '29.56121', '357.49965', '12.79395', '134.09933', '0.03952', '0.22167', '0.92751']}\n
{snapshot: 16:33:28, data: ['56.65639', '26.88886', '29.56086', '357.47919', '12.7558', '134.13302', '0.03928', '0.22143', '0.92922']}\n
{snapshot: 16:33:29, data: ['56.69299', '27.06762', '29.56074', '357.52805', '12.72646', '134.1867', '0.03831', '0.22118', '0.92995']}\n
{snapshot: 16:33:29, data: ['56.67469', '26.86332', '29.56058', '357.52559', '12.74033', '134.23274', '0.03855', '0.22167', '0.93165']}\n
{snapshot: 16:33:30, data: ['56.71129', '26.90801', '29.56117', '357.54774', '12.7076', '134.36994', '0.03952', '0.22264', '0.93019']}\n
{snapshot: 16:33:31, data: ['56.6198', '25.861', '29.56052', '357.55529', '12.70562', '134.41161', '0.04', '0.22143', '0.93336']}\n
{snapshot: 16:33:31, data: ['56.76618', '26.18021', '29.56055', '357.54657', '12.69112', '134.40752', '0.04', '0.22167', '0.93482']}\n
{snapshot: 16:33:32, data: ['56.83937', '27.12827', '29.56083', '357.51758', '12.69348', '134.40569', '0.03928', '0.2224', '0.99794']}\n
{snapshot: 16:33:33, data: ['56.96745', '26.86651', '29.5601', '357.57875', '12.6787', '134.40982', '0.03903', '0.22118', '0.93604']}\n
{snapshot: 16:33:33, data: ['56.85767', '27.01335', '29.56014', '357.61203', '12.68726', '134.37602', '0.03952', '0.22216', '0.93628']}\n
{snapshot: 16:33:34, data: ['56.94915', '24.30644', '29.5604', '357.68231', '12.66521', '134.29066', '0.04025', '0.22118', '0.93653']}\n
{snapshot: 16:33:35, data: ['56.94915', '25.96634', '29.56095', '357.63808', '12.70391', '134.30791', '0.03976', '0.22216', '0.93653']}\n
{snapshot: 16:33:36, data: ['56.94915', '27.04208', '29.56082', '357.62252', '12.69726', '134.27967', '0.04073', '0.22191', '0.9336']}\n
{snapshot: 16:33:36, data: ['56.87596', '26.94951', '29.55987', '357.65547', '12.74934', '134.27548', '0.03928', '0.22094', '0.93433']}\n
{snapshot: 16:33:37, data: ['57.00405', '26.86013', '29.55986', '357.65227', '12.72987', '134.25696', '0.03928', '0.22143', '0.93433']}\n
{snapshot: 16:33:38, data: ['56.93085', '27.0325', '29.55989', '357.6742', '12.76973', '134.25464', '0.03976', '0.2224', '0.93238']}\n
{snapshot: 16:33:38, data: ['56.93085', '26.34301', '29.55933', '357.70109', '12.75465', '134.26995', '0.04', '0.22191', '0.93385']}\n
{snapshot: 16:33:39, data: ['56.89426', '26.68776', '29.55983', '357.70695', '12.72764', '134.31628', '0.03952', '0.22118', '0.93385']}\n
{snapshot: 16:33:40, data: ['57.13213', '29.83836', '29.56101', '357.69156', '12.73885', '134.31471', '0.03952', '0.22216', '0.93238']}\n
{snapshot: 16:33:41, data: ['57.02234', '27.22722', '29.56063', '357.68544', '12.73136', '134.32275', '0.03952', '0.22167', '0.93238']}\n
{snapshot: 16:33:41, data: ['56.91256', '24.96721', '29.56052', '357.66861', '12.76372', '134.27507', '0.03903', '0.22118', '0.93263']}\n
