{snapshot: 19:41:48, data: ['52.83224', '42.59402', '29.62363', '357.45089', '12.87564', '133.09069', '0.04097', '0.21681', '0.93555']}\n
{snapshot: 19:41:49, data: ['52.81395', '41.713', '29.62322', '357.48688', '12.86883', '133.05568', '0.0434', '0.21754', '0.93409']}\n
{snapshot: 19:41:49, data: ['52.83224', '41.15757', '29.6233', '357.48533', '12.83539', '133.08226', '0.04291', '0.21536', '0.93336']}\n
{snapshot: 19:41:50, data: ['52.86884', '41.38422', '29.62329', '357.49778', '12.78867', '133.12928', '0.04122', '0.21681', '0.93482']}\n
{snapshot: 19:41:51, data: ['52.86884', '41.92049', '29.62393', '357.48884', '12.77338', '133.111', '0.04291', '0.21463', '0.93433']}\n
{snapshot: 19:41:51, data: ['52.83224', '41.28526', '29.62432', '357.47711', '12.72779', '133.08524', '0.04291', '0.21584', '0.93263']}\n
{snapshot: 19:41:52, data: ['52.90543', '41.09692', '29.6239', '357.45721', '12.74588', '133.07027', '0.0434', '0.21414', '0.9336']}\n
{snapshot: 19:41:53, data: ['52.81395', '42.37057', '29.62359', '357.49869', '12.72279', '133.05644', '0.04243', '0.21657', '0.93385']}\n
{snapshot: 19:41:54, data: ['52.88713', '40.5415', '29.62294', '357.50154', '12.72179', '133.09984', '0.04316', '0.2156', '0.93458']}\n
{snapshot: 19:41:54, data: ['52.90543', '41.4289', '29.62385', '357.53541', '12.75272', '133.15877', '0.04316', '0.2156', '0.99794']}\n
{snapshot: 19:41:55, data: ['52.85054', '40.48404', '29.62441', '357.58798', '12.6846', '133.11854', '0.04219', '0.21463', '0.93336']}\n
{snapshot: 19:41:56, data: ['52.83224', '41.4704', '29.62344', '357.61878', '12.70516', '133.1791', '0.04291', '0.21754', '0.9336']}\n
{snapshot: 19:41:57, data: ['52.85054', '41.43529', '29.62353', '357.63695', '12.7241', '133.16429', '0.04388', '0.21341', '0.93312']}\n
{snapshot: 19:41:57, data: ['52.83224', '41.2693', '29.62408', '357.6288', '12.63188', '133.1822', '0.04243', '0.21487', '0.9336']}\n
{snapshot: 19:41:58, data: ['52.77735', '40.77452', '29.62377', '357.61388', '12.64355', '133.21652', '0.04364', '0.2139', '0.9336']}\n
{snapshot: 19:41:59, data: ['52.81395', '42.20778', '29.62333', '357.60927', '12.6339', '133.21356', '0.04316', '0.21633', '0.93238']}\n
{snapshot: 19:41:59, data: ['52.74076', '41.54382', '29.62322', '357.61471', '12.64588', '133.17581', '0.04291', '0.21584', '0.93409']}\n
{snapshot: 19:42:00, data: ['52.85054', '39.86797', '29.62377', '357.61668', '12.72265', '133.12257', '0.04388', '0.21511', '0.93214']}\n
{snapshot: 19:42:01, data: ['52.85054', '41.95241', '29.62418', '357.61686', '12.70405', '133.10445', '0.04243', '0.21584', '0.93238']}\n
{snapshot: 19:42:01, data: ['52.75905', '42.00348', '29.62362', '357.61466', '12.73488', '133.04315', '0.04316', '0.2156', '0.93312']}\n
{snapshot: 19:42:02, data: ['52.81395', '41.80557', '29.62362', '357.5567', '12.74541', '133.01509', '0.04364', '0.21657', '0.93385']}\n
{snapshot: 19:42:03, data: ['52.79565', '41.8758', '29.62348', '357.58459', '12.75983', '132.99549', '0.04388', '0.21657', '0.93287']}\n
{snapshot: 19:42:03, data: ['52.85054', '41.77046', '29.62389', '357.59552', '12.76543', '132.98035', '0.04267', '0.21511', '0.93214']}\n
{snapshot: 19:42:04, data: ['52.77735', '41.82792', '29.62421', '357.59131', '12.73676', '132.90386', '0.0417', '0.21536', '0.93141']}\n
