{snapshot: 20:34:46, data: ['66.3723', '27.11869', '29.8389', '0.14926', '4.66546', '162.34152', '0.01212', '-0.03811', '0.95797']}\n
{snapshot: 20:34:47, data: ['66.4272', '25.65351', '29.83842', '0.02941', '4.22131', '162.37641', '0.01091', '-0.03908', '0.95919']}\n
{snapshot: 20:34:48, data: ['66.3906', '30.60128', '29.83881', '359.98286', '3.92456', '162.34826', '0.01212', '-0.03932', '0.96065']}\n
{snapshot: 20:34:49, data: ['66.4089', '25.96315', '29.83969', '359.87162', '3.62955', '162.38238', '0.01139', '-0.0386', '0.95895']}\n
{snapshot: 20:34:49, data: ['66.354', '25.80354', '29.83934', '359.75363', '3.30212', '162.34774', '0.01067', '-0.03835', '0.95675']}\n
{snapshot: 20:34:50, data: ['66.33571', '25.80993', '29.83931', '359.68508', '3.11592', '162.30756', '0.01139', '-0.03811', '0.95968']}\n
{snapshot: 20:34:51, data: ['66.57357', '25.97592', '29.83971', '359.64355', '2.8228', '162.33561', '0.01164', '-0.03884', '0.95797']}\n
{snapshot: 20:34:52, data: ['66.46379', '26.09402', '29.83928', '359.58533', '2.60351', '162.28915', '0.01188', '-0.0398', '0.95773']}\n
{snapshot: 20:34:53, data: ['66.53698', '26.24086', '29.83895', '359.48249', '2.35838', '162.32451', '0.01236', '-0.03908', '0.96041']}\n
{snapshot: 20:34:53, data: ['66.50039', '26.05253', '29.83943', '359.46175', '2.21498', '162.35084', '0.01139', '-0.03884', '0.95822']}\n
{snapshot: 20:34:54, data: ['66.48209', '26.08764', '29.83884', '359.39452', '1.94768', '162.32495', '0.01164', '-0.0398', '0.9587']}\n
{snapshot: 20:34:55, data: ['66.4272', '26.08764', '29.83864', '359.38758', '1.74224', '162.28203', '0.01091', '-0.03932', '0.95822']}\n
{snapshot: 20:34:56, data: ['66.46379', '25.81312', '29.83864', '359.3501', '1.50758', '162.38358', '0.01067', '-0.03908', '0.95748']}\n
{snapshot: 20:34:56, data: ['66.354', '26.04933', '29.83822', '359.28577', '1.28203', '162.44615', '0.01333', '-0.03908', '0.95846']}\n
{snapshot: 20:34:57, data: ['66.4272', '25.88654', '29.83891', '359.24855', '1.14593', '162.44393', '0.01018', '-0.03956', '0.95602']}\n
