{snapshot: 22:39:28, data: ['48.88001', '38.3964', '29.84995', '359.52231', '4.03477', '178.09979', '0.01382', '0.09105', '0.94969']}\n
{snapshot: 22:39:29, data: ['48.64214', '41.07139', '29.85001', '359.55362', '4.0499', '178.04801', '0.01358', '0.09008', '0.94896']}\n
{snapshot: 22:39:30, data: ['48.82512', '38.15061', '29.85091', '359.52409', '4.10593', '178.01944', '0.01285', '0.09129', '0.95334']}\n
{snapshot: 22:39:31, data: ['48.80682', '40.89582', '29.85132', '359.58579', '4.17574', '177.97479', '0.01358', '0.09202', '0.95359']}\n
{snapshot: 22:39:31, data: ['48.78852', '38.82414', '29.85099', '359.55716', '4.12644', '177.99851', '0.01406', '0.09202', '0.95554']}\n
{snapshot: 22:39:32, data: ['48.78852', '38.57516', '29.85015', '359.56383', '4.14191', '178.08209', '0.01382', '0.09008', '0.9492']}\n
{snapshot: 22:39:33, data: ['48.60555', '46.94167', '29.85018', '359.5607', '4.16682', '178.10091', '0.01285', '0.09008', '0.94993']}\n
{snapshot: 22:39:34, data: ['48.82512', '38.46982', '29.8507', '359.53297', '4.17237', '178.10274', '0.01358', '0.0908', '0.94871']}\n
{snapshot: 22:39:34, data: ['48.75193', '37.45154', '29.85034', '359.55288', '4.12013', '178.07427', '0.01455', '0.09008', '0.95164']}\n
{snapshot: 22:39:35, data: ['48.78852', '36.74608', '29.84934', '359.5581', '4.1262', '178.05138', '0.01285', '0.09008', '0.95164']}\n
{snapshot: 22:39:36, data: ['48.71533', '38.57835', '29.84918', '359.54056', '4.05172', '178.03989', '0.01406', '0.08959', '0.95017']}\n
{snapshot: 22:39:37, data: ['48.73363', '38.77307', '29.84984', '359.60009', '4.05062', '178.08739', '0.01358', '0.08935', '0.95066']}\n
{snapshot: 22:39:37, data: ['48.82512', '38.95821', '29.84968', '359.56513', '4.03034', '178.05471', '0.01309', '0.08959', '0.95164']}\n
{snapshot: 22:39:38, data: ['48.69703', '38.02293', '29.84957', '359.51322', '4.00726', '178.05195', '0.01261', '0.09129', '0.94969']}\n
{snapshot: 22:39:39, data: ['48.67874', '37.99739', '29.84959', '359.51583', '4.00114', '178.06941', '0.016', '0.09056', '0.94993']}\n
{snapshot: 22:39:39, data: ['48.62384', '38.28149', '29.85034', '359.52178', '3.96618', '178.00754', '0.01309', '0.08959', '0.94969']}\n
{snapshot: 22:39:40, data: ['48.77022', '38.56878', '29.85054', '359.47172', '3.99278', '178.00685', '0.01333', '0.0891', '0.94944']}\n
{snapshot: 22:39:41, data: ['48.78852', '40.05949', '29.85011', '359.45482', '3.96699', '178.02954', '0.01236', '0.08959', '0.9492']}\n
{snapshot: 22:39:41, data: ['48.67874', '39.21358', '29.84988', '359.50821', '3.91781', '178.00196', '0.01382', '0.09008', '0.94969']}\n
{snapshot: 22:39:42, data: ['48.67874', '38.46982', '29.85032', '359.48341', '4.02774', '178.01497', '0.01382', '0.08959', '0.95066']}\n
{snapshot: 22:39:43, data: ['48.60555', '35.18195', '29.85052', '359.44953', '4.03259', '177.975', '0.01382', '0.08983', '0.95237']}\n
{snapshot: 22:39:44, data: ['48.73363', '38.28787', '29.8506', '359.41962', '4.01123', '178.00507', '0.01406', '0.08935', '0.95017']}\n
{snapshot: 22:39:45, data: ['48.64214', '38.52409', '29.85029', '359.43697', '4.05781', '178.03706', '0.01285', '0.09056', '0.94652']}\n
{snapshot: 22:39:45, data: ['48.60555', '39.53279', '29.85052', '359.41876', '4.10588', '178.00467', '0.01309', '0.09008', '0.94896']}\n
{snapshot: 22:39:46, data: ['48.71533', '38.38363', '29.85083', '359.39682', '4.11737', '178.04419', '0.01261', '0.08935', '0.94896']}\n
{snapshot: 22:39:47, data: ['48.75193', '38.4762', '29.85065', '359.37912', '4.17412', '178.00451', '0.01455', '0.08959', '0.95066']}\n
{snapshot: 22:39:48, data: ['48.62384', '36.91207', '29.85028', '359.38633', '4.25107', '177.94349', '0.01382', '0.09153', '0.94871']}\n
{snapshot: 22:39:49, data: ['48.67874', '38.43471', '29.85003', '359.35601', '4.23744', '177.92958', '0.01115', '0.09178', '0.95505']}\n
{snapshot: 22:39:49, data: ['48.64214', '38.44109', '29.84956', '359.3494', '4.2247', '177.86259', '0.01115', '0.08862', '0.94091']}\n
{snapshot: 22:39:50, data: ['48.51406', '39.34127', '29.84969', '359.38512', '4.26379', '177.77972', '0.01043', '0.09153', '0.94433']}\n
{snapshot: 22:39:51, data: ['48.62384', '38.53366', '29.84986', '359.37141', '4.26543', '177.74126', '0.01188', '0.08959', '0.94043']}\n
{snapshot: 22:39:52, data: ['48.64214', '38.42513', '29.84988', '359.41421', '4.21253', '177.70189', '0.01406', '0.08959', '0.93896']}\n
{snapshot: 22:39:52, data: ['48.73363', '38.37725', '29.84954', '359.40324', '4.12124', '177.68214', '0.01527', '0.09153', '0.94311']}\n
{snapshot: 22:39:53, data: ['48.58725', '38.51451', '29.84918', '359.4507', '4.0407', '177.61298', '0.01285', '0.09032', '0.94506']}\n
{snapshot: 22:39:54, data: ['48.66044', '38.00697', '29.84888', '359.48036', '4.0688', '177.62903', '0.01309', '0.0891', '0.94579']}\n
