\n
{snapshot: 23:37:11, data: ['52.33821', '45.70633', '29.82086', '358.48564', '348.07114', '130.43156', '0.00824', '-0.11555', '0.95554']}\n
{snapshot: 23:37:12, data: ['52.4297', '45.73825', '29.82154', '358.50878', '348.61131', '129.83482', '0.0063', '-0.11482', '0.95724']}\n
{snapshot: 23:37:13, data: ['52.33821', '45.84678', '29.82167', '358.62691', '349.07253', '129.29144', '0.00752', '-0.11458', '0.95529']}\n
{snapshot: 23:37:13, data: ['52.50289', '45.69994', '29.82207', '358.61803', '349.61011', '128.70336', '0.00703', '-0.11506', '0.95943']}\n
{snapshot: 23:37:14, data: ['52.448', '45.81486', '29.82169', '358.65272', '349.966', '128.25233', '0.00873', '-0.11386', '0.95554']}\n
{snapshot: 23:37:15, data: ['52.50289', '45.63929', '29.8216', '358.62116', '350.3399', '127.70857', '0.00824', '-0.11555', '0.9587']}\n
{snapshot: 00:02:47, data: ['55.32069', '40.16802', '29.81862', '6.00705', '5.55872', '181.44819', '-0.05727', '0.07381', '0.93677']}\n
{snapshot: 00:02:48, data: ['55.32069', '40.03715', '29.81907', '5.91675', '4.99914', '181.34852', '-0.05751', '0.07187', '0.95042']}\n
{snapshot: 00:02:49, data: ['55.41217', '39.97969', '29.81911', '5.78846', '4.65641', '181.23738', '-0.05603', '0.07114', '0.95285']}\n
{snapshot: 00:02:50, data: ['55.35728', '39.86477', '29.81862', '5.68814', '4.27192', '181.13038', '-0.05603', '0.07332', '0.95164']}\n
{snapshot: 00:02:51, data: ['55.35728', '40.04991', '29.81815', '5.56952', '3.9345', '181.0288', '-0.05578', '0.07478', '0.9548']}\n
{snapshot: 00:02:51, data: ['55.46707', '40.11695', '29.8184', '5.42877', '3.61941', '180.9894', '-0.05727', '0.07332', '0.9548']}\n
{snapshot: 00:02:52, data: ['55.44877', '39.82966', '29.81893', '5.32254', '3.42463', '180.96807', '-0.05899', '0.07211', '0.95505']}\n
{snapshot: 00:02:53, data: ['55.39388', '42.98027', '29.8182', '5.17694', '3.23365', '180.95397', '-0.05603', '0.07065', '0.95797']}\n
{snapshot: 00:02:54, data: ['55.44877', '39.62856', '29.81856', '5.0874', '3.02255', '181.00055', '-0.05702', '0.07502', '0.95578']}\n
{snapshot: 00:02:55, data: ['55.52196', '39.74347', '29.81978', '5.04863', '2.8925', '181.06153', '-0.05801', '0.07478', '0.95651']}\n
{snapshot: 00:02:56, data: ['55.46707', '39.99565', '29.81877', '4.97912', '2.73913', '181.14663', '-0.05727', '0.07624', '0.95554']}\n
{snapshot: 00:02:56, data: ['55.54025', '39.38276', '29.81782', '4.90151', '2.75025', '181.12368', '-0.05307', '0.07284', '0.95919']}\n
{snapshot: 00:02:57, data: ['55.37558', '39.92542', '29.81813', '4.81444', '2.70418', '181.13863', '-0.0585', '0.07357', '0.9609']}\n
{snapshot: 00:02:58, data: ['55.55855', '39.93819', '29.81799', '4.7547', '2.68203', '181.13558', '-0.05677', '0.07284', '0.96358']}\n
{snapshot: 00:02:59, data: ['55.48536', '39.96692', '29.81828', '4.69773', '2.65446', '181.24649', '-0.05529', '0.07284', '0.95359']}\n
{snapshot: 00:03:00, data: ['55.63174', '39.28062', '29.81823', '4.62281', '2.60207', '181.31329', '-0.05776', '0.07138', '0.9609']}\n
{snapshot: 00:03:00, data: ['55.52196', '42.06733', '29.81821', '4.58477', '2.62985', '181.36136', '-0.05529', '0.07357', '0.95846']}\n
{snapshot: 00:03:01, data: ['55.50366', '42.94835', '29.81794', '4.50864', '2.69019', '181.41404', '-0.05776', '0.07259', '0.96138']}\n
{snapshot: 00:03:02, data: ['55.55855', '39.74666', '29.81787', '4.47524', '2.7451', '181.3789', '-0.05578', '0.07527', '0.95456']}\n
{snapshot: 00:03:03, data: ['55.57685', '39.73709', '29.81786', '4.4388', '2.76448', '181.35192', '-0.0543', '0.07429', '0.9609']}\n
{snapshot: 00:03:04, data: ['55.55855', '39.68601', '29.81776', '4.39176', '2.75575', '181.39211', '-0.05875', '0.07357', '0.95651']}\n
{snapshot: 00:03:04, data: ['55.52196', '39.84881', '29.81849', '4.36995', '2.76612', '181.39864', '-0.05603', '0.07259', '0.95334']}\n
{snapshot: 00:03:05, data: ['55.59515', '39.42426', '29.81918', '4.29104', '2.87366', '181.45491', '-0.05727', '0.07478', '0.95383']}\n
{snapshot: 00:03:06, data: ['55.68663', '39.7722', '29.81818', '4.22055', '2.91455', '181.47291', '-0.05677', '0.07235', '0.95773']}\n
{snapshot: 00:03:07, data: ['55.65004', '39.70197', '29.81771', '4.19648', '2.96809', '181.52765', '-0.05554', '0.07162', '0.9626']}\n
{snapshot: 00:03:08, data: ['55.65004', '39.59983', '29.81763', '4.11567', '2.98397', '181.57684', '-0.05381', '0.07527', '0.95554']}\n
{snapshot: 00:03:09, data: ['55.65004', '39.44022', '29.81835', '4.04821', '3.06545', '181.6039', '-0.05578', '0.07259', '0.95773']}\n
{snapshot: 00:03:09, data: ['55.66834', '38.84968', '29.8182', '4.0225', '3.17058', '181.69146', '-0.05825', '0.07381', '0.957']}\n
{snapshot: 00:03:10, data: ['55.59515', '37.05891', '29.81786', '3.98984', '3.23413', '181.73926', '-0.05554', '0.07672', '0.95651']}\n
{snapshot: 00:03:11, data: ['55.75982', '39.47214', '29.81735', '3.90378', '3.29319', '181.77565', '-0.05332', '0.07527', '0.95895']}\n
{snapshot: 00:03:12, data: ['55.77812', '39.67324', '29.8181', '3.86491', '3.196', '181.81146', '-0.05554', '0.07211', '0.96358']}\n
{snapshot: 00:03:13, data: ['55.72323', '39.70197', '29.8182', '3.86281', '3.22889', '181.92114', '-0.05702', '0.07187', '0.9626']}\n
{snapshot: 00:03:13, data: ['55.83301', '40.43297', '29.81794', '3.85775', '3.22538', '181.96279', '-0.05554', '0.07599', '0.95578']}\n
{snapshot: 00:03:14, data: ['55.79642', '39.4083', '29.81799', '3.8042', '3.24393', '182.04599', '-0.05653', '0.07551', '0.9609']}\n
{snapshot: 00:03:15, data: ['55.66834', '39.45299', '29.81756', '3.74755', '3.32261', '182.0599', '-0.05702', '0.07381', '0.95237']}\n
{snapshot: 00:03:16, data: ['55.75982', '40.10737', '29.8173', '3.77603', '3.3881', '182.03653', '-0.05702', '0.07502', '0.95919']}\n
{snapshot: 00:03:17, data: ['55.83301', '39.64132', '29.81753', '3.74038', '3.3405', '182.08029', '-0.05529', '0.07502', '0.95797']}\n
{snapshot: 00:03:17, data: ['55.77812', '39.43384', '29.81807', '3.67337', '3.35067', '182.13556', '-0.05455', '0.07284', '0.95748']}\n
{snapshot: 00:03:18, data: ['55.74153', '39.57429', '29.81818', '3.68168', '3.39243', '182.15752', '-0.05282', '0.07357', '0.96163']}\n
{snapshot: 00:03:19, data: ['55.79642', '39.76262', '29.81766', '3.72027', '3.47365', '182.16857', '-0.05628', '0.07745', '0.95529']}\n
{snapshot: 00:03:20, data: ['55.83301', '39.54556', '29.81792', '3.6578', '3.55472', '182.16276', '-0.05578', '0.07381', '0.95407']}\n
{snapshot: 00:03:21, data: ['55.9245', '38.37406', '29.81793', '3.63881', '3.65939', '182.14351', '-0.05455', '0.07381', '0.95992']}\n
{snapshot: 00:03:22, data: ['56.08918', '39.287', '29.818', '3.57401', '3.77741', '182.13258', '-0.05825', '0.07429', '0.95797']}\n
{snapshot: 00:03:22, data: ['55.9062', '39.35723', '29.81844', '3.57443', '3.82323', '182.14715', '-0.05381', '0.07429', '0.96138']}\n
{snapshot: 00:03:23, data: ['55.79642', '40.25421', '29.81791', '3.53932', '3.9024', '182.17197', '-0.0543', '0.07284', '0.96212']}\n
{snapshot: 00:03:24, data: ['55.81471', '39.49768', '29.8174', '3.523', '3.98991', '182.20287', '-0.05628', '0.07429', '0.96187']}\n
{snapshot: 00:03:25, data: ['55.83301', '39.2487', '29.81776', '3.61353', '4.03894', '182.28128', '-0.05603', '0.07405', '0.9548']}\n
{snapshot: 00:03:26, data: ['55.9245', '39.61259', '29.8181', '3.55971', '4.04595', '182.35704', '-0.05702', '0.07454', '0.95627']}\n
{snapshot: 00:03:26, data: ['55.9428', '39.27742', '29.81784', '3.52734', '4.08086', '182.37645', '-0.05529', '0.07745', '0.9548']}\n
{snapshot: 00:03:27, data: ['55.9428', '40.54469', '29.81778', '3.54491', '4.12932', '182.36995', '-0.05208', '0.07284', '0.95797']}\n
{snapshot: 00:03:28, data: ['55.97939', '39.30615', '29.81782', '3.50127', '4.15092', '182.38932', '-0.05406', '0.07405', '0.95895']}\n
{snapshot: 00:03:29, data: ['56.01599', '39.53279', '29.81828', '3.49108', '4.13588', '182.41212', '-0.0585', '0.07211', '0.9609']}\n
{snapshot: 00:03:30, data: ['55.9062', '38.6422', '29.81753', '3.41741', '4.19094', '182.43422', '-0.05825', '0.07429', '0.95578']}\n
{snapshot: 00:03:30, data: ['55.97939', '39.29019', '29.81697', '3.40056', '4.22128', '182.45121', '-0.05776', '0.07187', '0.95432']}\n
{snapshot: 00:03:31, data: ['56.03428', '39.25827', '29.81724', '3.33338', '4.28737', '182.47776', '-0.05504', '0.07381', '0.95578']}\n
{snapshot: 00:03:32, data: ['55.9062', '39.22954', '29.81733', '3.28842', '4.31184', '182.49456', '-0.0543', '0.07575', '0.96138']}\n
{snapshot: 00:03:33, data: ['55.9062', '39.83285', '29.81691', '3.1697', '4.24706', '182.5162', '-0.0548', '0.07357', '0.95407']}\n
{snapshot: 00:03:34, data: ['56.07088', '39.41468', '29.81704', '3.23692', '4.3509', '182.55147', '-0.05381', '0.07648', '0.96528']}\n
{snapshot: 00:03:35, data: ['56.10747', '39.25827', '29.81781', '3.25024', '4.46678', '182.58664', '-0.05529', '0.07527', '0.95651']}\n
{snapshot: 00:03:35, data: ['56.07088', '39.12101', '29.81701', '3.24858', '4.45499', '182.5707', '-0.05578', '0.07429', '0.95627']}\n
{snapshot: 00:03:36, data: ['56.16236', '38.99332', '29.81738', '3.24712', '4.42358', '182.56942', '-0.05381', '0.06992', '0.96163']}\n
{snapshot: 00:03:37, data: ['56.01599', '39.0444', '29.81787', '3.26004', '4.38595', '182.57412', '-0.05801', '0.07284', '0.95919']}\n
{snapshot: 00:03:38, data: ['56.03428', '37.78033', '29.81815', '3.28381', '4.38007', '182.56473', '-0.05455', '0.07672', '0.96017']}\n
{snapshot: 00:03:39, data: ['56.10747', '39.27104', '29.81834', '3.24842', '4.44823', '182.58294', '-0.05504', '0.07454', '0.95651']}\n
{snapshot: 00:03:39, data: ['56.14407', '37.32705', '29.81789', '3.27392', '4.44485', '182.60599', '-0.05677', '0.07332', '0.96138']}\n
{snapshot: 00:03:40, data: ['56.05258', '40.15845', '29.81758', '3.31342', '4.45064', '182.63168', '-0.05825', '0.07162', '0.95237']}\n
{snapshot: 00:03:41, data: ['56.12577', '39.09547', '29.81704', '3.36454', '4.45633', '182.64357', '-0.0548', '0.07332', '0.95968']}\n
{snapshot: 00:03:42, data: ['56.16236', '39.10505', '29.81669', '3.38183', '4.41306', '182.71112', '-0.05727', '0.07429', '0.95748']}\n
{snapshot: 00:03:43, data: ['56.12577', '38.94225', '29.81739', '3.38005', '4.39596', '182.77317', '-0.05554', '0.07794', '0.96041']}\n
{snapshot: 00:03:43, data: ['56.34534', '39.29977', '29.81769', '3.36058', '4.3876', '182.77511', '-0.05504', '0.07599', '0.95748']}\n
{snapshot: 00:03:44, data: ['56.14407', '39.15293', '29.8163', '3.38861', '4.40791', '182.732', '-0.05653', '0.07551', '0.95773']}\n
{snapshot: 00:03:45, data: ['56.21726', '39.18166', '29.81608', '3.33011', '4.43521', '182.71864', '-0.05751', '0.07502', '0.95407']}\n
{snapshot: 00:03:46, data: ['56.21726', '38.83053', '29.81695', '3.31925', '4.45566', '182.69355', '-0.05801', '0.07284', '0.95895']}\n
{snapshot: 00:03:47, data: ['56.29045', '39.11463', '29.8173', '3.36867', '4.45456', '182.67512', '-0.05653', '0.07527', '0.95237']}\n
{snapshot: 00:03:47, data: ['56.21726', '39.06675', '29.8172', '3.39531', '4.47969', '182.69899', '-0.05702', '0.07162', '0.9531']}\n
{snapshot: 00:03:48, data: ['56.38193', '38.96141', '29.81813', '3.44049', '4.52629', '182.66026', '-0.05529', '0.07259', '0.95651']}\n
{snapshot: 00:03:49, data: ['56.29045', '39.46257', '29.81733', '3.43528', '4.58373', '182.66789', '-0.05603', '0.07648', '0.95822']}\n
